evidence_id,evidence_type,training_domain,evaluation_domain,images,precision,recall,f1,map50,map50_95,checkpoint_sha256
TRAIN_DAWN_FOG,corrected_training,DAWN_FOG,DAWN_FOG,78,0.736063,0.509258,0.602007,0.553911,0.349038,c523cc15f7abc5b2aed1722d1f2ba2744ab3b6c0232a27db346209f777517392
TRAIN_DAWN_RAIN,corrected_training,DAWN_RAIN,DAWN_RAIN,42,0.971592,0.986420,0.978950,0.991635,0.888040,66307bc4bc1a711158d6dc138f2268fec04b6aaf266fbcf1a4bc994e61d1b324
TRAIN_DAWN_ENTIRE,corrected_training,DAWN,DAWN,120,0.848968,0.578431,0.688062,0.627872,0.436684,b82b4f5fa0550ac3376a30909f6f7707069596c36da613cbbeb39e7f3880a903
TRAIN_COMBINED,corrected_training,ACDC+DAWN,ACDC_DAWN_UNION,526,0.581582,0.439775,0.500834,0.446463,0.271198,e539bd2515215ef27ac5d077506a9bb6d6474b2d626eb2cdf2501aa7643b84cc
MATRIX_ACDC_ACDC,final_matrix,ACDC,ACDC,406,0.622605,0.401423,0.488127,0.422073,0.263370,346ea3443fe23f0c164dc79de96b53d73085ae5cacac10fd4d3477d4f429162b
MATRIX_ACDC_DAWN,final_matrix,ACDC,DAWN,120,0.595542,0.118977,0.198331,0.136163,0.079743,346ea3443fe23f0c164dc79de96b53d73085ae5cacac10fd4d3477d4f429162b
MATRIX_DAWN_ACDC,final_matrix,DAWN,ACDC,406,0.205510,0.133035,0.161515,0.112241,0.066615,b82b4f5fa0550ac3376a30909f6f7707069596c36da613cbbeb39e7f3880a903
MATRIX_DAWN_DAWN,final_matrix,DAWN,DAWN,120,0.846481,0.579369,0.687905,0.627660,0.436855,b82b4f5fa0550ac3376a30909f6f7707069596c36da613cbbeb39e7f3880a903
MATRIX_COMBINED_ACDC,final_matrix,ACDC+DAWN,ACDC,406,0.522493,0.412913,0.461285,0.406923,0.245178,e539bd2515215ef27ac5d077506a9bb6d6474b2d626eb2cdf2501aa7643b84cc
MATRIX_COMBINED_DAWN,final_matrix,ACDC+DAWN,DAWN,120,0.814195,0.609253,0.696971,0.638219,0.422794,e539bd2515215ef27ac5d077506a9bb6d6474b2d626eb2cdf2501aa7643b84cc
MATRIX_COMBINED_UNION,final_matrix,ACDC+DAWN,ACDC_DAWN_UNION,526,0.580848,0.437565,0.499127,0.447226,0.271959,e539bd2515215ef27ac5d077506a9bb6d6474b2d626eb2cdf2501aa7643b84cc

