epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,150.704,1.37114,1.53445,1.06061,0.63649,0.17277,0.20159,0.10805,1.42487,1.39138,1.12375,0.000276973,0.000276973,0.000276973
2,295.985,1.53565,1.40527,1.14375,0.34995,0.16869,0.14888,0.07907,1.56054,1.44194,1.19437,0.000549148,0.000549148,0.000549148
3,437.186,1.58543,1.41071,1.17017,0.43372,0.19283,0.19329,0.09496,1.55036,1.34105,1.18557,0.000815826,0.000815826,0.000815826
4,577.699,1.57588,1.37619,1.16727,0.46456,0.20205,0.19277,0.09552,1.48404,1.24207,1.1614,0.00080826,0.00080826,0.00080826
5,718.866,1.54054,1.28909,1.13223,0.45113,0.21215,0.2063,0.10792,1.46336,1.21537,1.1502,0.000800013,0.000800013,0.000800013
6,859.723,1.52447,1.26561,1.13705,0.30885,0.22901,0.2207,0.11721,1.49547,1.28128,1.16895,0.000791767,0.000791767,0.000791767
7,1003.51,1.49666,1.2071,1.12532,0.33572,0.26324,0.23162,0.12321,1.39964,1.13823,1.11797,0.00078352,0.00078352,0.00078352
8,1146.2,1.47719,1.20061,1.11707,0.44685,0.22283,0.21196,0.11634,1.46301,1.20806,1.14932,0.000775273,0.000775273,0.000775273
9,1286.66,1.45188,1.16668,1.11951,0.40977,0.27742,0.25053,0.13329,1.38622,1.10833,1.11556,0.000767026,0.000767026,0.000767026
10,1426.78,1.41439,1.10766,1.09113,0.33481,0.28637,0.26797,0.15264,1.3613,1.07521,1.09641,0.00075878,0.00075878,0.00075878
11,1566.82,1.39476,1.08485,1.07559,0.41605,0.29001,0.26869,0.14881,1.36053,1.05172,1.11305,0.000750533,0.000750533,0.000750533
12,1705.74,1.35453,1.05192,1.0547,0.51919,0.26749,0.28926,0.16251,1.34513,1.02152,1.0942,0.000742286,0.000742286,0.000742286
13,1845.01,1.34167,1.00994,1.05073,0.46749,0.27663,0.29088,0.15879,1.33187,1.0062,1.08651,0.00073404,0.00073404,0.00073404
14,1983.46,1.31793,1.00338,1.04696,0.44274,0.29918,0.29784,0.16645,1.32138,0.99026,1.08864,0.000725793,0.000725793,0.000725793
15,2124.2,1.3294,1.00472,1.04554,0.47627,0.29059,0.29414,0.15888,1.33781,1.01716,1.09352,0.000717546,0.000717546,0.000717546
16,2262.5,1.29128,0.9728,1.02729,0.47372,0.31894,0.30757,0.16742,1.29532,0.98835,1.07154,0.000709299,0.000709299,0.000709299
17,2401.55,1.2883,0.9696,1.04107,0.44272,0.3106,0.30388,0.17522,1.26787,0.98216,1.06146,0.000701053,0.000701053,0.000701053
18,2553.91,1.28661,0.95149,1.03567,0.3744,0.31111,0.29991,0.16853,1.30971,0.99139,1.06812,0.000692806,0.000692806,0.000692806
19,2705.66,1.26087,0.92802,1.01576,0.525,0.27948,0.29974,0.16704,1.30268,0.98238,1.08096,0.000684559,0.000684559,0.000684559
20,2868.19,1.25307,0.91719,1.02367,0.53615,0.32139,0.33146,0.18315,1.29848,0.9588,1.07184,0.000676313,0.000676313,0.000676313
21,3028.29,1.25179,0.9042,1.02179,0.51702,0.3286,0.32994,0.18636,1.26506,0.92802,1.05884,0.000668066,0.000668066,0.000668066
22,3187.51,1.22643,0.88145,1.01197,0.56206,0.31396,0.33364,0.18489,1.30912,0.96157,1.08504,0.000659819,0.000659819,0.000659819
23,3347.35,1.2156,0.86938,1.00387,0.52475,0.33753,0.35899,0.20025,1.25,0.90609,1.05829,0.000651573,0.000651573,0.000651573
24,3509.6,1.21618,0.8696,1.00366,0.4492,0.33521,0.33414,0.1899,1.24061,0.94023,1.05329,0.000643326,0.000643326,0.000643326
25,3675.13,1.18398,0.84418,0.99718,0.50442,0.31281,0.34054,0.19232,1.22624,0.91906,1.04256,0.000635079,0.000635079,0.000635079
26,3841.27,1.19937,0.8476,0.99361,0.45976,0.36042,0.33424,0.1913,1.25311,0.91855,1.05536,0.000626832,0.000626832,0.000626832
27,4129.42,1.17066,0.82039,0.99373,0.55025,0.34349,0.35131,0.1994,1.22358,0.88321,1.04525,0.000618586,0.000618586,0.000618586
28,4385.33,1.17584,0.83578,0.99681,0.49544,0.34354,0.33969,0.1887,1.22634,0.89041,1.04907,0.000610339,0.000610339,0.000610339
29,4526.41,1.18803,0.83189,0.98995,0.54113,0.3613,0.36485,0.20801,1.22455,0.89319,1.04349,0.000602092,0.000602092,0.000602092
30,4666.85,1.1624,0.80558,0.97851,0.49529,0.36271,0.36565,0.21039,1.20832,0.87705,1.0358,0.000593846,0.000593846,0.000593846
31,4807.55,1.15811,0.80204,0.98518,0.56121,0.34707,0.3516,0.20478,1.21505,0.88278,1.04716,0.000585599,0.000585599,0.000585599
32,4947.95,1.1516,0.78297,0.97117,0.49268,0.3563,0.35545,0.20009,1.20293,0.87523,1.03738,0.000577352,0.000577352,0.000577352
33,5089.4,1.13887,0.78608,0.96791,0.62179,0.33658,0.37771,0.21788,1.19606,0.87231,1.03362,0.000569106,0.000569106,0.000569106
34,5229.95,1.13307,0.76257,0.96929,0.48613,0.34693,0.33857,0.20448,1.20907,0.86736,1.04694,0.000560859,0.000560859,0.000560859
35,5370.42,1.12895,0.76321,0.96569,0.52952,0.35932,0.36769,0.21289,1.23004,0.86268,1.04547,0.000552612,0.000552612,0.000552612
36,5510.72,1.13897,0.77268,0.97169,0.55303,0.36145,0.37673,0.22404,1.20673,0.85587,1.03782,0.000544365,0.000544365,0.000544365
37,5652.3,1.12153,0.75048,0.95764,0.57035,0.35969,0.36968,0.21691,1.21065,0.84953,1.04129,0.000536119,0.000536119,0.000536119
38,5793.82,1.11324,0.75005,0.95819,0.55114,0.37829,0.38835,0.22265,1.18654,0.84232,1.02832,0.000527872,0.000527872,0.000527872
39,5934.06,1.0984,0.73326,0.94683,0.64274,0.34579,0.3829,0.22251,1.19967,0.85668,1.03591,0.000519625,0.000519625,0.000519625
40,6074.19,1.10937,0.74932,0.95024,0.5637,0.35842,0.36902,0.21366,1.19198,0.85508,1.03143,0.000511379,0.000511379,0.000511379
41,6215.11,1.08748,0.71264,0.95238,0.5741,0.37373,0.39067,0.22554,1.17122,0.82334,1.03191,0.000503132,0.000503132,0.000503132
42,6357.49,1.06734,0.7008,0.93936,0.64523,0.33788,0.38427,0.22993,1.18475,0.8519,1.03211,0.000494885,0.000494885,0.000494885
43,6498.17,1.06369,0.70521,0.94433,0.56527,0.3465,0.37527,0.22184,1.17354,0.82928,1.03088,0.000486639,0.000486639,0.000486639
44,6637.94,1.0646,0.6941,0.94364,0.57754,0.36688,0.38491,0.23372,1.16622,0.8212,1.02468,0.000478392,0.000478392,0.000478392
45,6778.19,1.04683,0.69334,0.93431,0.51623,0.40062,0.39595,0.23909,1.1718,0.81195,1.03378,0.000470145,0.000470145,0.000470145
46,6920.31,1.04921,0.69021,0.93513,0.65574,0.35522,0.39039,0.23358,1.17292,0.84355,1.03329,0.000461898,0.000461898,0.000461898
47,7061.27,1.03588,0.68242,0.93127,0.56361,0.39857,0.40321,0.23551,1.15833,0.81616,1.02442,0.000453652,0.000453652,0.000453652
48,7201.15,1.03228,0.67155,0.93172,0.62212,0.35978,0.39848,0.23917,1.1515,0.80522,1.02472,0.000445405,0.000445405,0.000445405
49,7340.41,1.03572,0.66983,0.93153,0.61925,0.3779,0.40623,0.23846,1.1664,0.81817,1.03192,0.000437158,0.000437158,0.000437158
50,7480.09,1.02861,0.66343,0.92773,0.63277,0.36901,0.38297,0.22407,1.16317,0.81295,1.02577,0.000428912,0.000428912,0.000428912
