epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.0283,1.21829,1.8172,0.97501,0.17179,0.23501,0.16775,0.10729,0.97827,5.57523,0.97193,0.00027489,0.00027489,0.00027489
2,82.536,1.28692,1.45106,1.0111,0.71674,0.16527,0.18639,0.11067,1.1948,1.3546,1.06617,0.000547086,0.000547086,0.000547086
3,120.678,1.36699,1.37535,1.04748,0.33357,0.23632,0.20086,0.11756,1.18447,1.34364,1.03918,0.000813785,0.000813785,0.000813785
4,158.211,1.42299,1.43119,1.06911,0.69539,0.1895,0.19512,0.11273,1.25957,1.19363,1.14644,0.00080826,0.00080826,0.00080826
5,197.196,1.4678,1.32616,1.08399,0.79225,0.1849,0.26136,0.15321,1.19394,1.19439,1.08634,0.000800013,0.000800013,0.000800013
6,235.615,1.39089,1.23334,1.07419,0.56343,0.19361,0.2222,0.12126,1.25193,1.13925,1.09506,0.000791767,0.000791767,0.000791767
7,272.698,1.35133,1.12915,1.0504,0.70392,0.17156,0.2215,0.12137,1.24762,1.23748,1.10117,0.00078352,0.00078352,0.00078352
8,309.887,1.35403,1.12519,1.05225,0.36368,0.24989,0.22265,0.13697,1.22801,1.0977,1.07636,0.000775273,0.000775273,0.000775273
9,347.231,1.32817,1.04165,1.00923,0.5655,0.29475,0.28791,0.1504,1.21411,1.00611,1.07385,0.000767026,0.000767026,0.000767026
10,384.64,1.33972,1.04871,1.0364,0.34537,0.3613,0.32273,0.16874,1.15334,1.00244,1.07005,0.00075878,0.00075878,0.00075878
11,422.168,1.32016,0.97726,1.02227,0.32966,0.29697,0.26412,0.13714,1.22062,1.19634,1.0743,0.000750533,0.000750533,0.000750533
12,459.375,1.29583,0.96453,0.99814,0.37314,0.37319,0.30764,0.17786,1.17002,0.94706,1.07613,0.000742286,0.000742286,0.000742286
13,496.804,1.26742,0.93773,1.01302,0.37131,0.43744,0.37459,0.17922,1.17075,0.94332,1.081,0.00073404,0.00073404,0.00073404
14,534.431,1.30188,0.92719,0.99834,0.36524,0.36863,0.35608,0.21106,1.15466,0.93156,1.03576,0.000725793,0.000725793,0.000725793
15,572.085,1.27959,0.9342,1.01139,0.38671,0.30121,0.3547,0.19403,1.09239,0.90628,1.03279,0.000717546,0.000717546,0.000717546
16,609.052,1.22304,0.89585,0.99377,0.29818,0.42842,0.35035,0.188,1.07962,0.92129,1.02664,0.000709299,0.000709299,0.000709299
17,646.105,1.24095,0.89923,0.97058,0.60336,0.29235,0.32855,0.17384,1.13574,0.96222,1.03627,0.000701053,0.000701053,0.000701053
18,682.891,1.24976,0.92816,0.98125,0.60568,0.27213,0.40863,0.24514,1.08338,0.91614,1.00715,0.000692806,0.000692806,0.000692806
19,720.238,1.18486,0.83483,0.94904,0.57333,0.36662,0.43211,0.24252,1.07889,0.88873,1.027,0.000684559,0.000684559,0.000684559
20,757.17,1.15339,0.82681,0.96721,0.49891,0.43145,0.39036,0.22446,1.06482,0.97403,1.01093,0.000676313,0.000676313,0.000676313
21,795.628,1.1555,0.81655,0.96789,0.52798,0.30364,0.37083,0.21933,1.11013,0.87551,1.04282,0.000668066,0.000668066,0.000668066
22,832.789,1.16257,0.83035,0.96845,0.41502,0.41216,0.3975,0.22962,1.07047,0.88627,1.03112,0.000659819,0.000659819,0.000659819
23,869.442,1.14987,0.77097,0.94758,0.6353,0.42109,0.43729,0.24835,1.04593,0.85626,1.00822,0.000651573,0.000651573,0.000651573
24,907.111,1.14796,0.80497,0.96583,0.49133,0.40875,0.44162,0.25594,1.04846,0.82467,1.01283,0.000643326,0.000643326,0.000643326
25,944.559,1.08947,0.76384,0.93795,0.53127,0.32392,0.35716,0.19986,1.06405,0.89977,1.02562,0.000635079,0.000635079,0.000635079
26,981.366,1.08335,0.7296,0.94231,0.67439,0.3477,0.41383,0.24367,1.05509,0.88074,1.00491,0.000626832,0.000626832,0.000626832
27,1017.94,1.09127,0.74207,0.94111,0.64351,0.3746,0.40923,0.25991,1.07014,0.84059,1.02072,0.000618586,0.000618586,0.000618586
28,1055.37,1.09074,0.72533,0.93349,0.45116,0.36673,0.37431,0.23201,1.08917,0.85866,1.01102,0.000610339,0.000610339,0.000610339
29,1092.1,1.08606,0.73419,0.93284,0.44613,0.38787,0.34389,0.21306,1.05643,0.86929,1.00838,0.000602092,0.000602092,0.000602092
30,1128.7,1.05587,0.71691,0.91826,0.47261,0.40419,0.39949,0.24195,1.04775,0.84263,1.01513,0.000593846,0.000593846,0.000593846
31,1165.44,1.05118,0.71123,0.93196,0.49788,0.39353,0.40254,0.23667,1.0531,0.85955,1.0196,0.000585599,0.000585599,0.000585599
32,1202.23,1.02893,0.70423,0.91495,0.47194,0.50616,0.42852,0.25302,1.04867,0.83587,1.00061,0.000577352,0.000577352,0.000577352
33,1239.25,1.00094,0.65143,0.91675,0.56112,0.40844,0.43032,0.2439,1.01913,0.82842,0.99267,0.000569106,0.000569106,0.000569106
34,1276.24,1.03847,0.69877,0.94387,0.55193,0.35234,0.39513,0.24189,1.04325,0.88328,1.0091,0.000560859,0.000560859,0.000560859
35,1312.91,1.05835,0.68845,0.92848,0.64132,0.31105,0.38477,0.22738,1.04563,0.82938,1.03572,0.000552612,0.000552612,0.000552612
36,1349.92,1.02647,0.67189,0.92186,0.4304,0.39516,0.42095,0.23927,1.00261,0.80402,1.00984,0.000544365,0.000544365,0.000544365
37,1388.07,1.04617,0.66805,0.91757,0.55029,0.46051,0.43693,0.24459,1.00512,0.81803,0.99479,0.000536119,0.000536119,0.000536119
38,1424.97,1.01867,0.63785,0.90271,0.45378,0.47948,0.44304,0.27911,1.02326,0.85264,0.99797,0.000527872,0.000527872,0.000527872
39,1462.09,1.02393,0.63148,0.91423,0.4994,0.47088,0.46148,0.29752,0.95825,0.7806,0.96808,0.000519625,0.000519625,0.000519625
40,1499.05,1.00249,0.63169,0.90696,0.50016,0.50463,0.46028,0.27556,0.99409,0.81526,0.98327,0.000511379,0.000511379,0.000511379
41,1535.99,0.9697,0.61263,0.90101,0.676,0.43883,0.48146,0.28578,0.99331,0.79295,0.97981,0.000503132,0.000503132,0.000503132
42,1572.57,0.97071,0.6134,0.89975,0.69282,0.38796,0.45832,0.27947,0.98511,0.80315,0.98282,0.000494885,0.000494885,0.000494885
43,1609.38,0.92666,0.59112,0.88616,0.58294,0.45865,0.45778,0.251,1.00797,0.80659,0.98561,0.000486639,0.000486639,0.000486639
44,1646.12,1.02831,0.64197,0.89906,0.70993,0.39614,0.48739,0.28136,0.98932,0.81015,0.9747,0.000478392,0.000478392,0.000478392
45,1682.96,0.9535,0.61188,0.89987,0.58116,0.40209,0.44397,0.28581,0.95139,0.77544,0.97563,0.000470145,0.000470145,0.000470145
46,1719.31,0.95622,0.59914,0.88925,0.62306,0.47569,0.49845,0.30376,0.99095,0.80882,0.99141,0.000461898,0.000461898,0.000461898
47,1756.18,0.95154,0.6064,0.88815,0.54373,0.44997,0.48045,0.28006,1.0022,0.8322,1.00292,0.000453652,0.000453652,0.000453652
48,1792.49,0.95311,0.60499,0.89792,0.4969,0.45609,0.44849,0.28214,0.99116,0.8355,0.98751,0.000445405,0.000445405,0.000445405
49,1829.55,0.93294,0.57801,0.88787,0.64307,0.48221,0.5334,0.33612,0.97025,0.78447,0.9945,0.000437158,0.000437158,0.000437158
50,1867.41,0.9304,0.57521,0.88272,0.58788,0.46235,0.48193,0.29046,0.97673,0.77766,0.98102,0.000428912,0.000428912,0.000428912
51,1904.55,0.94147,0.58287,0.88029,0.70446,0.38574,0.44571,0.28839,0.9825,0.85666,0.995,0.000420665,0.000420665,0.000420665
52,1941.84,0.94912,0.60719,0.88594,0.66971,0.45839,0.49402,0.25424,0.98941,0.79692,1.01009,0.000412418,0.000412418,0.000412418
53,1978.85,0.91828,0.5799,0.89335,0.67477,0.43198,0.46708,0.29594,0.9622,0.78373,0.98571,0.000404172,0.000404172,0.000404172
54,2017.13,0.91567,0.57131,0.87847,0.56271,0.48148,0.49276,0.2954,0.95017,0.79867,0.97715,0.000395925,0.000395925,0.000395925
55,2053.75,0.89372,0.55642,0.88039,0.5181,0.44782,0.48176,0.31169,0.96442,0.79329,0.9832,0.000387678,0.000387678,0.000387678
56,2090.56,0.92866,0.55381,0.87411,0.70967,0.41949,0.47786,0.30313,0.99074,0.79465,0.99771,0.000379431,0.000379431,0.000379431
57,2127.17,0.88693,0.54543,0.87709,0.66605,0.43245,0.48446,0.28444,0.94421,0.78729,0.96426,0.000371185,0.000371185,0.000371185
58,2163.81,0.91893,0.55858,0.86405,0.66883,0.37838,0.47596,0.30027,0.94817,0.79683,0.96652,0.000362938,0.000362938,0.000362938
59,2200.26,0.87377,0.53126,0.86513,0.5981,0.45711,0.47847,0.30108,0.93493,0.81001,0.96132,0.000354691,0.000354691,0.000354691
60,2237.46,0.8732,0.51938,0.86526,0.67824,0.44484,0.48127,0.28562,0.95237,0.80968,0.97003,0.000346445,0.000346445,0.000346445
61,2274.53,0.87537,0.5206,0.8664,0.51568,0.48237,0.45346,0.28687,0.94365,0.81848,0.96536,0.000338198,0.000338198,0.000338198
62,2311.3,0.85924,0.51491,0.85537,0.59937,0.49322,0.50572,0.30594,0.95757,0.78073,0.99013,0.000329951,0.000329951,0.000329951
63,2347.76,0.87103,0.52235,0.86324,0.69248,0.43726,0.49281,0.2939,0.94145,0.78378,0.9741,0.000321705,0.000321705,0.000321705
64,2384.09,0.84161,0.50316,0.86119,0.62147,0.46651,0.50722,0.29976,0.94212,0.79574,0.98426,0.000313458,0.000313458,0.000313458
65,2420.64,0.87969,0.51758,0.85665,0.59867,0.46861,0.51087,0.31186,0.93746,0.7607,0.98425,0.000305211,0.000305211,0.000305211
66,2457.24,0.81033,0.48264,0.85277,0.68703,0.42443,0.50145,0.28754,0.93567,0.78194,0.98212,0.000296964,0.000296964,0.000296964
67,2493.9,0.83045,0.49675,0.86755,0.60486,0.45344,0.45037,0.26778,0.9272,0.78985,0.97477,0.000288718,0.000288718,0.000288718
68,2530.84,0.82783,0.51191,0.85512,0.65251,0.42027,0.46791,0.28227,0.93856,0.78727,0.96128,0.000280471,0.000280471,0.000280471
69,2567.55,0.83169,0.49744,0.86496,0.67143,0.45951,0.48898,0.30135,0.95867,0.77808,0.97801,0.000272224,0.000272224,0.000272224
70,2605.58,0.84531,0.5027,0.84321,0.56194,0.483,0.49268,0.31374,0.95944,0.77669,0.98732,0.000263978,0.000263978,0.000263978
71,2642.15,0.82739,0.49411,0.8529,0.51527,0.48174,0.48832,0.29289,0.95583,0.79786,0.98484,0.000255731,0.000255731,0.000255731
72,2678.96,0.80203,0.47721,0.84347,0.66923,0.45928,0.49116,0.30276,0.92143,0.74204,0.97066,0.000247484,0.000247484,0.000247484
73,2716.05,0.76977,0.46608,0.84293,0.65728,0.45514,0.49172,0.30184,0.93984,0.76164,0.98064,0.000239238,0.000239238,0.000239238
74,2752.43,0.83141,0.49245,0.84776,0.5874,0.48495,0.49093,0.30452,0.95157,0.8069,0.97352,0.000230991,0.000230991,0.000230991
75,2789.14,0.81743,0.47728,0.8512,0.75504,0.42236,0.49448,0.31069,0.93205,0.79751,0.96177,0.000222744,0.000222744,0.000222744
76,2825.69,0.79669,0.47509,0.84636,0.77415,0.44149,0.50807,0.32293,0.90329,0.79599,0.95933,0.000214497,0.000214497,0.000214497
77,2862.2,0.79881,0.4691,0.84696,0.75546,0.45029,0.50658,0.31328,0.91824,0.79352,0.95852,0.000206251,0.000206251,0.000206251
78,2899.02,0.82299,0.4777,0.83716,0.68581,0.44677,0.50792,0.30219,0.93355,0.78763,0.96665,0.000198004,0.000198004,0.000198004
79,2935.68,0.7796,0.45122,0.83464,0.70261,0.45681,0.50357,0.29889,0.93466,0.79219,0.9733,0.000189757,0.000189757,0.000189757
80,2972.49,0.7418,0.43036,0.83841,0.62145,0.47629,0.50603,0.30621,0.93915,0.79203,0.97396,0.000181511,0.000181511,0.000181511
81,3008.97,0.7966,0.45705,0.84505,0.55898,0.47641,0.49279,0.29397,0.94223,0.81024,0.97657,0.000173264,0.000173264,0.000173264
82,3045.53,0.784,0.44651,0.84271,0.61975,0.48389,0.50344,0.29171,0.92946,0.78073,0.96838,0.000165017,0.000165017,0.000165017
83,3082.09,0.75681,0.43629,0.8372,0.60388,0.48612,0.50932,0.29305,0.90957,0.76082,0.9674,0.000156771,0.000156771,0.000156771
84,3118.93,0.74272,0.42616,0.83042,0.66546,0.45207,0.49645,0.29161,0.932,0.80474,0.97763,0.000148524,0.000148524,0.000148524
85,3156.1,0.75934,0.43499,0.83031,0.6851,0.44494,0.48968,0.28858,0.91683,0.78591,0.98176,0.000140277,0.000140277,0.000140277
86,3193.61,0.73436,0.42469,0.8303,0.53963,0.46048,0.45943,0.29083,0.90922,0.77603,0.96627,0.000132031,0.000132031,0.000132031
87,3230.72,0.73363,0.42142,0.82407,0.4463,0.4515,0.45813,0.28592,0.91463,0.77095,0.96351,0.000123784,0.000123784,0.000123784
