epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.0766,1.65061,2.06594,1.15756,0.55781,0.16843,0.15271,0.08265,1.84423,2.85839,1.29138,0.00027489,0.00027489,0.00027489
2,81.597,1.7492,1.79606,1.19862,0.48863,0.1747,0.15142,0.07589,1.93161,2.69827,1.37627,0.000547086,0.000547086,0.000547086
3,120.07,1.81161,1.83621,1.24408,0.72422,0.06534,0.07728,0.04106,2.00179,3.4351,1.33642,0.000813785,0.000813785,0.000813785
4,158.703,1.91305,2.17763,1.2565,0.77672,0.12122,0.13185,0.06031,2.04145,2.03809,1.35183,0.00080826,0.00080826,0.00080826
5,196.946,1.91128,1.76286,1.26175,0.65788,0.11716,0.13294,0.0666,2.00756,2.65062,1.39713,0.000800013,0.000800013,0.000800013
6,235.756,1.82454,1.52254,1.23813,0.74037,0.1321,0.12488,0.05793,1.99669,10.1058,1.3638,0.000791767,0.000791767,0.000791767
7,274.265,1.81752,1.59639,1.23717,0.33432,0.16248,0.15203,0.07197,1.93157,2.10505,1.28976,0.00078352,0.00078352,0.00078352
8,312.657,1.72555,1.4648,1.19123,0.41335,0.14538,0.13278,0.07156,1.99071,2.10368,1.37058,0.000775273,0.000775273,0.000775273
9,351.417,1.69817,1.42365,1.17105,0.65535,0.15413,0.16297,0.07989,1.94271,1.93205,1.40805,0.000767026,0.000767026,0.000767026
10,390.517,1.70729,1.41457,1.20672,0.29632,0.18655,0.14624,0.0664,1.98346,2.10663,1.36489,0.00075878,0.00075878,0.00075878
11,429.396,1.74261,1.3486,1.19783,0.41332,0.23077,0.16734,0.08298,1.93058,2.15134,1.32436,0.000750533,0.000750533,0.000750533
12,469.327,1.71591,1.35682,1.17933,0.58082,0.21237,0.19746,0.09267,1.93709,2.13342,1.34063,0.000742286,0.000742286,0.000742286
13,508.291,1.6451,1.29263,1.16999,0.3374,0.18931,0.17669,0.09441,1.85249,1.91025,1.2941,0.00073404,0.00073404,0.00073404
14,547.29,1.67478,1.32046,1.17821,0.47735,0.21246,0.19367,0.09529,1.96066,1.73087,1.33193,0.000725793,0.000725793,0.000725793
15,586.081,1.63308,1.25127,1.15715,0.42188,0.18952,0.18798,0.08665,2.00474,1.8207,1.40142,0.000717546,0.000717546,0.000717546
16,624.296,1.60955,1.20888,1.14861,0.54383,0.1788,0.19428,0.09205,1.9534,1.93147,1.31552,0.000709299,0.000709299,0.000709299
17,661.902,1.55066,1.15121,1.11451,0.28273,0.20216,0.19135,0.09595,1.92342,1.89259,1.30098,0.000701053,0.000701053,0.000701053
18,700.621,1.56058,1.12277,1.10147,0.48198,0.2082,0.21075,0.10669,1.84499,1.76484,1.31715,0.000692806,0.000692806,0.000692806
19,739.673,1.5366,1.15206,1.11561,0.39714,0.20718,0.22198,0.10221,1.87034,1.71967,1.3154,0.000684559,0.000684559,0.000684559
20,777.722,1.54,1.13859,1.11443,0.56875,0.20046,0.2139,0.10782,1.84654,1.83884,1.27265,0.000676313,0.000676313,0.000676313
21,816.041,1.49631,1.0766,1.0896,0.53761,0.19954,0.21442,0.11247,1.87695,1.70238,1.34532,0.000668066,0.000668066,0.000668066
22,854.678,1.51974,1.12284,1.12278,0.24886,0.20829,0.19732,0.09661,1.8305,1.69114,1.33159,0.000659819,0.000659819,0.000659819
23,892.755,1.4899,1.04459,1.08063,0.41671,0.23934,0.25131,0.1273,1.85244,1.62002,1.3394,0.000651573,0.000651573,0.000651573
