epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.1624,1.36234,2.11082,1.0735,0.38535,0.08996,0.09951,0.06057,1.43178,2.96652,1.21339,0.00027489,0.00027489,0.00027489
2,81.8033,1.43618,1.52606,1.10048,0.00538,0.06454,0.00119,0.00082,1.62306,309.022,1.28101,0.000547086,0.000547086,0.000547086
3,119.966,1.54882,1.70326,1.16222,0.33285,0.15276,0.13401,0.06342,1.6332,1.77821,1.32232,0.000813785,0.000813785,0.000813785
4,157.877,1.63574,1.63028,1.20221,0.42606,0.16121,0.14957,0.07332,1.68459,1.74433,1.32792,0.00080826,0.00080826,0.00080826
5,195.566,1.53895,1.49613,1.16544,0.57495,0.11255,0.12509,0.06069,1.67435,1.66968,1.30964,0.000800013,0.000800013,0.000800013
6,232.92,1.48855,1.26778,1.13547,0.1816,0.19631,0.16903,0.08484,1.56705,1.25671,1.28783,0.000791767,0.000791767,0.000791767
7,270.512,1.46552,1.22299,1.11726,0.48363,0.16078,0.14588,0.0701,1.60743,1.36663,1.28048,0.00078352,0.00078352,0.00078352
8,308.267,1.52052,1.35326,1.15532,0.62186,0.12426,0.15417,0.08601,1.57229,1.30262,1.24628,0.000775273,0.000775273,0.000775273
9,346.004,1.42919,1.18283,1.10601,0.37188,0.15473,0.15325,0.08069,1.55621,1.29813,1.24947,0.000767026,0.000767026,0.000767026
10,383.591,1.48262,1.18507,1.1083,0.57247,0.12655,0.15794,0.07959,1.55072,1.19344,1.23651,0.00075878,0.00075878,0.00075878
11,420.902,1.42649,1.17548,1.08675,0.34354,0.15631,0.15471,0.08228,1.55529,1.24187,1.23906,0.000750533,0.000750533,0.000750533
12,457.862,1.42968,1.13693,1.08384,0.23145,0.18236,0.17226,0.08363,1.52336,1.20796,1.21905,0.000742286,0.000742286,0.000742286
13,495.193,1.40727,1.11152,1.09179,0.49185,0.20333,0.19197,0.0909,1.52574,1.22468,1.22397,0.00073404,0.00073404,0.00073404
14,532.329,1.36563,1.06006,1.07223,0.35813,0.17518,0.17393,0.08267,1.57966,1.1942,1.26719,0.000725793,0.000725793,0.000725793
15,569.684,1.37895,1.07531,1.11724,0.34736,0.18247,0.16102,0.08591,1.5999,1.16182,1.2692,0.000717546,0.000717546,0.000717546
16,606.534,1.35769,1.06658,1.07073,0.48074,0.19461,0.20592,0.10864,1.52304,1.11702,1.22525,0.000709299,0.000709299,0.000709299
17,643.765,1.31382,0.98991,1.04515,0.20984,0.2281,0.16968,0.08865,1.47963,1.11347,1.19385,0.000701053,0.000701053,0.000701053
18,680.905,1.33314,1.02742,1.06538,0.6523,0.15128,0.17617,0.09416,1.49788,1.17161,1.22123,0.000692806,0.000692806,0.000692806
19,718.892,1.3087,0.97903,1.0394,0.50493,0.16891,0.17264,0.09363,1.53152,1.19642,1.23651,0.000684559,0.000684559,0.000684559
20,756.542,1.29318,0.98681,1.0479,0.34547,0.20652,0.19053,0.09469,1.44984,1.07485,1.20126,0.000676313,0.000676313,0.000676313
21,793.765,1.24736,0.94175,1.01244,0.34754,0.2371,0.18802,0.09357,1.4812,1.16359,1.19629,0.000668066,0.000668066,0.000668066
22,830.702,1.23158,0.91381,1.03379,0.24991,0.23619,0.18763,0.08693,1.46572,1.12578,1.20753,0.000659819,0.000659819,0.000659819
23,867.417,1.20162,0.87412,1.0011,0.35473,0.18585,0.18512,0.09419,1.45875,1.10474,1.19094,0.000651573,0.000651573,0.000651573
24,904.448,1.18126,0.88675,1.00368,0.23033,0.23319,0.2031,0.10509,1.46908,1.08584,1.19649,0.000643326,0.000643326,0.000643326
25,941.357,1.23314,0.90262,1.00815,0.432,0.18333,0.19306,0.09361,1.45465,1.07312,1.18825,0.000635079,0.000635079,0.000635079
26,979.079,1.20713,0.8962,0.99423,0.26832,0.29352,0.22128,0.11861,1.42213,1.04361,1.19144,0.000626832,0.000626832,0.000626832
27,1016.68,1.18073,0.86741,1.00033,0.29761,0.22411,0.23608,0.11895,1.40239,1.03291,1.18706,0.000618586,0.000618586,0.000618586
28,1054.5,1.21188,0.86761,0.98937,0.42934,0.25896,0.22445,0.11392,1.41524,1.02813,1.19306,0.000610339,0.000610339,0.000610339
29,1091.79,1.17183,0.87412,1.00626,0.39264,0.2156,0.20264,0.10553,1.43647,1.04637,1.19349,0.000602092,0.000602092,0.000602092
30,1129.12,1.17831,0.83897,0.97681,0.34932,0.23045,0.17796,0.09751,1.47666,1.11074,1.2248,0.000593846,0.000593846,0.000593846
31,1166.2,1.16189,0.84135,0.97045,0.55145,0.23342,0.21326,0.11364,1.42875,0.98524,1.18546,0.000585599,0.000585599,0.000585599
32,1203.31,1.13246,0.81709,0.97297,0.43861,0.18625,0.20113,0.1054,1.4469,1.05595,1.20299,0.000577352,0.000577352,0.000577352
33,1240.84,1.14418,0.79778,0.97351,0.38068,0.26557,0.24075,0.12684,1.37437,1.00899,1.15699,0.000569106,0.000569106,0.000569106
34,1278.78,1.14028,0.79079,0.99699,0.25983,0.2451,0.2339,0.12941,1.39294,1.0019,1.15524,0.000560859,0.000560859,0.000560859
35,1317.6,1.16925,0.77974,0.96431,0.24111,0.23966,0.21219,0.1138,1.43451,1.00896,1.17895,0.000552612,0.000552612,0.000552612
36,1354.74,1.13524,0.7818,0.96968,0.45066,0.22517,0.21074,0.12044,1.39282,1.0324,1.17232,0.000544365,0.000544365,0.000544365
37,1391.48,1.11327,0.77334,0.97114,0.41917,0.28491,0.23251,0.13258,1.3831,1.00529,1.15024,0.000536119,0.000536119,0.000536119
38,1428.75,1.10082,0.76549,0.95835,0.39913,0.30953,0.25819,0.14885,1.37457,0.95632,1.16237,0.000527872,0.000527872,0.000527872
39,1466.03,1.09171,0.74907,0.96195,0.39804,0.26712,0.22549,0.12337,1.36651,1.01227,1.16502,0.000519625,0.000519625,0.000519625
40,1502.97,1.04383,0.7261,0.95483,0.43962,0.2051,0.21787,0.11337,1.3558,1.05924,1.16488,0.000511379,0.000511379,0.000511379
41,1540.61,1.05519,0.73099,0.94978,0.46638,0.22543,0.21615,0.12088,1.37355,1.02114,1.17603,0.000503132,0.000503132,0.000503132
