epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.1436,1.20362,1.63371,1.00446,0.39305,0.21121,0.19985,0.11165,1.20708,1.24929,1.06124,0.00027489,0.00027489,0.00027489
2,79.6032,1.36475,1.45606,1.10227,0.38424,0.23052,0.17672,0.10773,1.34848,1.46318,1.14824,0.000547086,0.000547086,0.000547086
3,117.127,1.41797,1.54421,1.11386,0.48451,0.21882,0.2012,0.10225,1.4671,1.72513,1.1859,0.000813785,0.000813785,0.000813785
4,154.399,1.44733,1.43613,1.13164,0.39272,0.20644,0.18136,0.09296,1.42426,1.25221,1.16312,0.00080826,0.00080826,0.00080826
5,191.747,1.45123,1.32524,1.13681,0.42877,0.28112,0.25339,0.13319,1.40284,1.32114,1.16058,0.000800013,0.000800013,0.000800013
6,229.141,1.44636,1.2331,1.12579,0.53506,0.18895,0.2002,0.11247,1.37991,1.19342,1.14586,0.000791767,0.000791767,0.000791767
7,266.452,1.37266,1.10477,1.10321,0.75979,0.22865,0.2875,0.13088,1.41081,1.12356,1.1191,0.00078352,0.00078352,0.00078352
8,303.713,1.39683,1.13603,1.10277,0.58818,0.25333,0.28505,0.16922,1.32603,1.03279,1.1245,0.000775273,0.000775273,0.000775273
9,342.081,1.34441,1.09413,1.07756,0.52911,0.21732,0.25489,0.14015,1.39161,1.11322,1.13822,0.000767026,0.000767026,0.000767026
10,379.179,1.35749,1.07121,1.09002,0.65828,0.27568,0.33259,0.17543,1.34453,1.06513,1.14276,0.00075878,0.00075878,0.00075878
11,416.525,1.35785,1.02711,1.08113,0.72773,0.2453,0.28603,0.15217,1.33702,1.09783,1.11309,0.000750533,0.000750533,0.000750533
12,453.495,1.29645,1.00751,1.06672,0.47043,0.33508,0.33875,0.1858,1.30927,0.98739,1.10318,0.000742286,0.000742286,0.000742286
13,491.503,1.29912,1.01797,1.07452,0.29944,0.27189,0.23248,0.12225,1.33765,1.06914,1.12126,0.00073404,0.00073404,0.00073404
14,528.727,1.2945,0.98099,1.03971,0.69937,0.26808,0.3158,0.17275,1.32812,1.00437,1.13465,0.000725793,0.000725793,0.000725793
15,565.654,1.27005,0.95782,1.04285,0.36902,0.28212,0.27399,0.14805,1.31835,0.95904,1.10886,0.000717546,0.000717546,0.000717546
16,602.926,1.23127,0.91368,1.0271,0.38838,0.32631,0.30158,0.17675,1.27916,0.90636,1.09726,0.000709299,0.000709299,0.000709299
17,641.206,1.2662,0.92869,1.0452,0.30018,0.33347,0.29943,0.16361,1.29101,0.95149,1.08909,0.000701053,0.000701053,0.000701053
18,678.271,1.20715,0.8947,1.01096,0.41037,0.35337,0.31212,0.16738,1.30751,0.96449,1.10163,0.000692806,0.000692806,0.000692806
19,715.159,1.17683,0.8674,1.00964,0.55002,0.33142,0.32364,0.18535,1.24085,0.9207,1.07704,0.000684559,0.000684559,0.000684559
20,751.806,1.15693,0.84286,0.99523,0.45127,0.2902,0.32336,0.18492,1.24974,0.93166,1.08257,0.000676313,0.000676313,0.000676313
21,788.576,1.17052,0.82593,0.99878,0.42898,0.35708,0.34539,0.19673,1.25145,0.91236,1.07392,0.000668066,0.000668066,0.000668066
22,825.682,1.16226,0.84318,1.01821,0.37131,0.3642,0.31905,0.18048,1.27297,0.92552,1.08311,0.000659819,0.000659819,0.000659819
23,862.812,1.17362,0.82881,0.99347,0.3932,0.42979,0.34823,0.20533,1.26546,0.8716,1.06856,0.000651573,0.000651573,0.000651573
24,899.951,1.14933,0.83059,1.00858,0.50599,0.37737,0.35856,0.19398,1.256,0.93131,1.06191,0.000643326,0.000643326,0.000643326
25,937.943,1.14344,0.79863,1.00209,0.59775,0.37829,0.38947,0.21149,1.28073,0.90289,1.07697,0.000635079,0.000635079,0.000635079
26,974.905,1.17331,0.8352,0.99805,0.49807,0.30838,0.34442,0.19391,1.25645,0.91313,1.07524,0.000626832,0.000626832,0.000626832
27,1011.45,1.10627,0.77076,0.98379,0.41185,0.4182,0.35335,0.20115,1.25659,0.87816,1.07143,0.000618586,0.000618586,0.000618586
28,1048.32,1.11136,0.77857,0.99746,0.39769,0.43247,0.3574,0.2031,1.21348,0.87396,1.05697,0.000610339,0.000610339,0.000610339
29,1085.01,1.10691,0.7573,0.98867,0.60555,0.37306,0.37651,0.20015,1.24327,0.8701,1.05629,0.000602092,0.000602092,0.000602092
30,1121.56,1.06233,0.73151,0.96421,0.66451,0.40247,0.44771,0.25499,1.2214,0.90363,1.06416,0.000593846,0.000593846,0.000593846
31,1159,1.09811,0.73018,0.95763,0.56322,0.45077,0.43158,0.24105,1.1929,0.84846,1.0561,0.000585599,0.000585599,0.000585599
32,1195.47,1.05834,0.72048,0.96439,0.48337,0.4468,0.42759,0.21994,1.22068,0.87853,1.06208,0.000577352,0.000577352,0.000577352
33,1232.24,1.05236,0.70819,0.97862,0.52408,0.40908,0.40947,0.20896,1.18528,0.85199,1.04777,0.000569106,0.000569106,0.000569106
34,1268.67,1.03719,0.70172,0.95737,0.54262,0.3974,0.37997,0.20827,1.19149,0.86112,1.05127,0.000560859,0.000560859,0.000560859
35,1305.32,1.02942,0.67775,0.94723,0.49693,0.37362,0.40183,0.224,1.19756,0.8353,1.05559,0.000552612,0.000552612,0.000552612
36,1342.52,1.06156,0.71498,0.95876,0.62165,0.38995,0.42872,0.2276,1.20383,0.88081,1.05753,0.000544365,0.000544365,0.000544365
37,1379.35,1.01259,0.68245,0.93951,0.6372,0.38311,0.42054,0.21308,1.21822,0.89047,1.07268,0.000536119,0.000536119,0.000536119
38,1416.07,1.00338,0.65601,0.93487,0.68604,0.34458,0.40759,0.22032,1.19068,0.84894,1.04,0.000527872,0.000527872,0.000527872
39,1452.77,1.01328,0.67519,0.9495,0.70664,0.40233,0.45158,0.23649,1.18779,0.88967,1.0451,0.000519625,0.000519625,0.000519625
40,1489.3,0.99663,0.65286,0.95425,0.55162,0.41157,0.42083,0.23654,1.19278,0.83313,1.0523,0.000511379,0.000511379,0.000511379
41,1526.49,0.98363,0.629,0.94157,0.53566,0.41188,0.38512,0.2221,1.17675,0.83684,1.05308,0.000503132,0.000503132,0.000503132
42,1564.51,0.96972,0.62899,0.93173,0.6479,0.41495,0.43958,0.25129,1.21318,0.82101,1.06131,0.000494885,0.000494885,0.000494885
43,1601.1,0.9842,0.64473,0.93289,0.52849,0.45994,0.43238,0.23194,1.18662,0.81828,1.05086,0.000486639,0.000486639,0.000486639
44,1637.83,0.959,0.60185,0.9054,0.6728,0.44692,0.48207,0.27001,1.19845,0.79195,1.06637,0.000478392,0.000478392,0.000478392
45,1674.84,0.96998,0.62954,0.92823,0.59978,0.3925,0.41797,0.2221,1.16766,0.78356,1.05204,0.000470145,0.000470145,0.000470145
46,1711.29,0.96462,0.64061,0.92922,0.69201,0.41731,0.43948,0.21692,1.20059,0.83833,1.07033,0.000461898,0.000461898,0.000461898
47,1747.88,0.94788,0.60104,0.91369,0.68793,0.38606,0.43593,0.24216,1.14938,0.80458,1.0407,0.000453652,0.000453652,0.000453652
48,1784.73,0.95848,0.60084,0.91957,0.64728,0.43034,0.44276,0.24483,1.14699,0.81142,1.04919,0.000445405,0.000445405,0.000445405
49,1821.73,0.9142,0.59947,0.90812,0.67453,0.39894,0.43932,0.22041,1.16777,0.80616,1.04591,0.000437158,0.000437158,0.000437158
50,1858.84,0.92805,0.59346,0.8994,0.66364,0.3738,0.44156,0.21744,1.25121,0.84754,1.08755,0.000428912,0.000428912,0.000428912
51,1895.6,0.92155,0.57669,0.90762,0.53015,0.45224,0.46822,0.23328,1.20085,0.81635,1.07341,0.000420665,0.000420665,0.000420665
52,1932.35,0.91483,0.58281,0.90696,0.66097,0.38349,0.43761,0.23705,1.16572,0.80392,1.03884,0.000412418,0.000412418,0.000412418
53,1968.95,0.90904,0.57403,0.90885,0.55489,0.46845,0.45865,0.22905,1.17294,0.80816,1.04079,0.000404172,0.000404172,0.000404172
54,2005.99,0.91686,0.58653,0.90375,0.60794,0.46322,0.46351,0.24496,1.15586,0.78132,1.04497,0.000395925,0.000395925,0.000395925
55,2042.29,0.88183,0.55147,0.89984,0.74628,0.3885,0.45521,0.23486,1.17297,0.78253,1.05243,0.000387678,0.000387678,0.000387678
56,2079.12,0.89526,0.55643,0.89351,0.66924,0.3819,0.4399,0.2334,1.15934,0.78618,1.03783,0.000379431,0.000379431,0.000379431
57,2115.53,0.86392,0.52606,0.88296,0.52595,0.47173,0.48877,0.25762,1.15119,0.78384,1.05323,0.000371185,0.000371185,0.000371185
58,2153.32,0.87052,0.53599,0.88767,0.69606,0.33694,0.4525,0.25655,1.13772,0.77152,1.04644,0.000362938,0.000362938,0.000362938
59,2190.17,0.89202,0.54348,0.88515,0.50513,0.38729,0.40067,0.23095,1.13797,0.77566,1.03209,0.000354691,0.000354691,0.000354691
60,2226.46,0.88722,0.53724,0.8871,0.54186,0.43722,0.43222,0.24377,1.12971,0.72576,1.05264,0.000346445,0.000346445,0.000346445
