video_frame,displayed_label,has_detection
1,,0
2,,0
3,,0
4,,0
5,car,1
6,car,1
7,car,1
8,car,1
9,car,1
10,car,1
11,car,1
12,car,1
13,car,1
14,car,1
15,car,1
16,car,1
17,car,1
18,car,1
19,car,1
20,,0
21,,0
22,,0
23,,0
24,,0
25,,0
26,,0
27,,0
28,,0
29,,0
30,,0
31,,0
32,,0
33,,0
34,,0
35,,0
36,,0
37,,0
38,,0
39,,0
40,,0
41,,0
42,,0
43,,0
44,,0
45,,0
46,,0
47,,0
48,,0
49,,0
50,,0
51,,0
52,,0
53,,0
54,,0
55,truck,1
56,truck,1
57,truck,1
58,truck,1
59,truck,1
60,truck,1
61,truck,1
62,truck,1
63,truck,1
64,truck,1
65,truck,1
66,truck,1
67,truck,1
68,truck,1
69,truck,1
70,truck,1
71,truck,1
72,truck,1
73,truck,1
74,truck,1
75,,0
76,,0
77,bus,1
78,bus,1
79,bus,1
80,bus,1
81,bus,1
82,bus,1
83,bus,1
84,bus,1
85,bus,1
86,bus,1
87,bus,1
88,bus,1
89,bus,1
90,bus,1
91,bus,1
92,bus,1
93,bus,1
94,bus,1
95,bus,1
96,,0
97,,0
98,,0
99,,0
100,,0
101,,0
102,,0
103,,0
104,,0
105,,0
106,,0
107,,0
