video_frame,scene_state,fog_density,displayed_targets,forward_motorcycle,forward_car,oncoming_bus,oncoming_motorcycle,forward_motorcycle_yolo_evidence,forward_car_yolo_evidence,oncoming_bus_yolo_evidence,oncoming_motorcycle_yolo_evidence
1,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|forward_car,1,1,0,0,1,1,0,0
2,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|forward_car,1,1,0,0,1,1,0,0
3,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|forward_car,1,1,0,0,1,1,0,0
4,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|forward_car,1,1,0,0,1,1,0,0
5,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|forward_car,1,1,0,0,1,1,0,0
6,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|forward_car,1,1,0,0,1,1,0,0
7,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|forward_car,1,1,0,0,1,1,0,0
8,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|forward_car,1,1,0,0,1,1,0,0
9,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|forward_car,1,1,0,0,1,1,0,0
10,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|forward_car,1,1,0,0,1,1,0,0
11,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|forward_car,1,1,0,0,1,1,0,0
12,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|forward_car,1,1,0,0,1,1,0,0
13,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|forward_car,1,1,0,0,1,1,0,0
14,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|forward_car,1,1,0,0,1,1,0,0
15,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|forward_car,1,1,0,0,1,1,0,0
16,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|forward_car,1,1,0,0,1,1,0,0
17,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|forward_car,1,1,0,0,1,1,0,0
18,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|forward_car,1,1,0,0,1,1,0,0
19,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|forward_car,1,1,0,0,1,1,0,0
20,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|forward_car,1,1,0,0,1,1,0,0
21,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|forward_car,1,1,0,0,1,1,0,0
22,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|forward_car,1,1,0,0,1,1,0,0
23,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|forward_car,1,1,0,0,1,1,0,0
24,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|forward_car|oncoming_bus,1,1,1,0,1,1,1,0
25,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|forward_car|oncoming_bus,1,1,1,0,1,0,1,0
26,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|forward_car|oncoming_bus,1,1,1,0,1,0,1,0
27,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|forward_car|oncoming_bus,1,1,1,0,1,0,1,0
28,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|forward_car|oncoming_bus,1,1,1,0,1,1,1,0
29,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|forward_car|oncoming_bus,1,1,1,0,1,0,1,0
30,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|forward_car|oncoming_bus,1,1,1,0,1,0,1,0
31,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|forward_car|oncoming_bus,1,1,1,0,1,0,1,0
32,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|forward_car|oncoming_bus,1,1,1,0,1,0,1,0
33,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|forward_car|oncoming_bus,1,1,1,0,1,0,1,0
34,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|forward_car|oncoming_bus,1,1,1,0,1,0,1,0
35,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|forward_car|oncoming_bus,1,1,1,0,1,0,1,0
36,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|forward_car|oncoming_bus,1,1,1,0,1,0,1,0
37,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|forward_car|oncoming_bus,1,1,1,0,1,0,1,0
38,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|forward_car|oncoming_bus,1,1,1,0,1,0,1,0
39,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|forward_car|oncoming_bus,1,1,1,0,1,0,1,0
40,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|forward_car|oncoming_bus,1,1,1,0,1,0,1,0
41,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|forward_car|oncoming_bus,1,1,1,0,1,0,1,0
42,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|forward_car|oncoming_bus,1,1,1,0,1,0,1,0
43,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|forward_car|oncoming_bus,1,1,1,0,1,0,0,0
44,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|forward_car|oncoming_bus|oncoming_motorcycle,1,1,1,1,1,0,0,0
45,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|forward_car|oncoming_bus|oncoming_motorcycle,1,1,1,1,1,0,0,0
46,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|forward_car|oncoming_bus|oncoming_motorcycle,1,1,1,1,1,0,0,0
47,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|forward_car|oncoming_bus|oncoming_motorcycle,1,1,1,1,1,0,1,0
48,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|forward_car|oncoming_bus|oncoming_motorcycle,1,1,1,1,0,0,0,0
49,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|forward_car|oncoming_bus|oncoming_motorcycle,1,1,1,1,1,0,0,0
50,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|forward_car|oncoming_bus|oncoming_motorcycle,1,1,1,1,1,0,0,0
51,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|forward_car|oncoming_bus|oncoming_motorcycle,1,1,1,1,1,0,1,0
52,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|forward_car|oncoming_bus|oncoming_motorcycle,1,1,1,1,1,0,1,0
53,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|forward_car|oncoming_bus|oncoming_motorcycle,1,1,1,1,1,0,1,0
54,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|forward_car|oncoming_bus|oncoming_motorcycle,1,1,1,1,1,0,0,0
55,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|forward_car|oncoming_bus|oncoming_motorcycle,1,1,1,1,1,0,0,0
56,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|forward_car|oncoming_bus|oncoming_motorcycle,1,1,1,1,1,0,1,0
57,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|oncoming_bus|oncoming_motorcycle,1,0,1,1,1,0,1,0
58,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|oncoming_bus|oncoming_motorcycle,1,0,1,1,1,0,1,0
59,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|oncoming_bus|oncoming_motorcycle,1,0,1,1,1,0,1,0
60,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|oncoming_bus|oncoming_motorcycle,1,0,1,1,1,0,1,0
61,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|oncoming_bus|oncoming_motorcycle,1,0,1,1,1,0,1,0
62,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|oncoming_bus|oncoming_motorcycle,1,0,1,1,1,0,1,0
63,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|oncoming_bus|oncoming_motorcycle,1,0,1,1,1,0,1,0
64,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|oncoming_bus|oncoming_motorcycle,1,0,1,1,1,0,1,0
65,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|oncoming_bus|oncoming_motorcycle,1,0,1,1,1,0,1,0
66,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|oncoming_bus|oncoming_motorcycle,1,0,1,1,1,0,1,1
67,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|oncoming_bus|oncoming_motorcycle,1,0,1,1,1,0,1,0
68,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|oncoming_bus|oncoming_motorcycle,1,0,1,1,1,0,1,0
69,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|oncoming_bus|oncoming_motorcycle,1,0,1,1,1,0,0,0
70,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|oncoming_bus|oncoming_motorcycle,1,0,1,1,1,0,1,0
71,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|oncoming_bus|oncoming_motorcycle,1,0,1,1,1,0,0,0
72,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|oncoming_bus|oncoming_motorcycle,1,0,1,1,1,0,0,1
73,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|oncoming_bus|oncoming_motorcycle,1,0,1,1,1,0,0,1
74,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|oncoming_bus|oncoming_motorcycle,1,0,1,1,1,0,0,1
75,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|oncoming_bus|oncoming_motorcycle,1,0,1,1,1,0,1,1
76,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|oncoming_bus|oncoming_motorcycle,1,0,1,1,1,0,0,1
77,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|oncoming_bus|oncoming_motorcycle,1,0,1,1,1,0,0,1
78,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|oncoming_bus|oncoming_motorcycle,1,0,1,1,1,0,0,1
79,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|oncoming_bus|oncoming_motorcycle,1,0,1,1,1,0,1,1
80,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|oncoming_motorcycle,1,0,0,1,1,0,0,1
81,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|oncoming_motorcycle,1,0,0,1,1,0,0,1
82,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|oncoming_motorcycle,1,0,0,1,1,0,0,1
83,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|oncoming_motorcycle,1,0,0,1,1,0,0,1
84,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|oncoming_motorcycle,1,0,0,1,1,0,0,1
85,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|oncoming_motorcycle,1,0,0,1,1,0,0,1
86,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|oncoming_motorcycle,1,0,0,1,1,0,0,1
87,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|oncoming_motorcycle,1,0,0,1,1,0,0,1
88,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|oncoming_motorcycle,1,0,0,1,1,0,0,1
89,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|oncoming_motorcycle,1,0,0,1,1,0,0,1
90,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|oncoming_motorcycle,1,0,0,1,1,0,0,1
91,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|oncoming_motorcycle,1,0,0,1,1,0,0,1
92,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|oncoming_motorcycle,1,0,0,1,1,0,0,1
93,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|oncoming_motorcycle,1,0,0,1,1,0,0,1
94,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|oncoming_motorcycle,1,0,0,1,1,0,0,1
95,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|oncoming_motorcycle,1,0,0,1,1,0,0,1
96,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle|oncoming_motorcycle,1,0,0,1,1,0,0,1
97,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle,1,0,0,0,1,0,0,0
98,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle,1,0,0,0,1,0,0,0
99,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle,1,0,0,0,1,0,0,0
100,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle,1,0,0,0,1,0,0,0
101,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle,1,0,0,0,1,0,0,0
102,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle,1,0,0,0,1,0,0,0
103,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle,1,0,0,0,1,0,0,0
104,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle,1,0,0,0,1,0,0,0
105,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle,1,0,0,0,1,0,0,0
106,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle,1,0,0,0,1,0,0,0
107,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle,1,0,0,0,1,0,0,0
108,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle,1,0,0,0,1,0,0,0
109,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle,1,0,0,0,1,0,0,0
110,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle,1,0,0,0,1,0,0,0
111,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle,1,0,0,0,1,0,0,0
112,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle,1,0,0,0,1,0,0,0
113,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle,1,0,0,0,1,0,0,0
114,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle,1,0,0,0,1,0,0,0
115,DENSE_FOG_STRAIGHT,42.0,forward_motorcycle,1,0,0,0,1,0,0,0
