video_frame,time_seconds,original_prediction_count,combined_prediction_count,forward_motorcycle_gt_eligible,forward_motorcycle_raw_yolo_match,forward_motorcycle_raw_class,forward_motorcycle_raw_confidence,forward_motorcycle_raw_iou,forward_motorcycle_combined_evidence,forward_motorcycle_combined_view,forward_car_gt_eligible,forward_car_raw_yolo_match,forward_car_raw_class,forward_car_raw_confidence,forward_car_raw_iou,forward_car_combined_evidence,forward_car_combined_view,oncoming_bus_gt_eligible,oncoming_bus_raw_yolo_match,oncoming_bus_raw_class,oncoming_bus_raw_confidence,oncoming_bus_raw_iou,oncoming_bus_combined_evidence,oncoming_bus_combined_view,oncoming_truck_gt_eligible,oncoming_truck_raw_yolo_match,oncoming_truck_raw_class,oncoming_truck_raw_confidence,oncoming_truck_raw_iou,oncoming_truck_combined_evidence,oncoming_truck_combined_view,forward_motorcycle_displayed,forward_motorcycle_presentation_source,forward_car_displayed,forward_car_presentation_source,oncoming_bus_displayed,oncoming_bus_presentation_source,oncoming_truck_displayed,oncoming_truck_presentation_source,displayed_targets
1,0.0,37,64,1,1,rider,0.7639520168304443,0.6881677376050742,1,original,1,1,car,0.030971594154834747,0.5995750684307892,1,original,0,0,,,,0,,0,0,,,,0,,1,yolo_evidence,1,yolo_evidence,0,,0,,forward_motorcycle|forward_car
2,0.1,10,24,1,1,rider,0.8607626557350159,0.6427787374726969,1,original,1,1,car,0.4950870871543884,0.7352758768929786,1,low_light_enhanced,0,0,,,,0,,0,0,,,,0,,1,yolo_evidence,1,yolo_evidence,0,,0,,forward_motorcycle|forward_car
3,0.2,18,35,1,1,rider,0.876361608505249,0.6382809918714779,1,original,1,1,car,0.8235532641410828,0.7741571584518072,1,low_light_enhanced,0,0,,,,0,,0,0,,,,0,,1,yolo_evidence,1,yolo_evidence,0,,0,,forward_motorcycle|forward_car
4,0.3,26,48,1,1,rider,0.8360505104064941,0.6266590356042531,1,original,1,1,car,0.030402248725295067,0.6630477132574351,1,original,0,0,,,,0,,0,0,,,,0,,1,yolo_evidence,1,yolo_evidence,0,,0,,forward_motorcycle|forward_car
5,0.4,20,36,1,1,rider,0.005483716726303101,0.8178126680772855,1,original,1,1,car,0.0676494762301445,0.363686951791214,1,low_light_enhanced,0,0,,,,0,,0,0,,,,0,,1,yolo_evidence,1,yolo_evidence,0,,0,,forward_motorcycle|forward_car
6,0.5,14,28,1,1,rider,0.8782338500022888,0.6521242425622877,1,original,1,1,bus,0.6957241892814636,0.2025254362082336,1,original,0,0,,,,0,,0,0,,,,0,,1,yolo_evidence,1,yolo_evidence,0,,0,,forward_motorcycle|forward_car
7,0.6,14,27,1,1,rider,0.8907396793365479,0.6246630450137459,1,original,1,1,car,0.01732832007110119,0.38219146067407633,1,original,0,0,,,,0,,0,0,,,,0,,1,yolo_evidence,1,yolo_evidence,0,,0,,forward_motorcycle|forward_car
8,0.7,20,37,1,1,rider,0.8810722827911377,0.732082070905345,1,low_light_enhanced,1,1,bus,0.7131450772285461,0.20625614997743905,1,low_light_enhanced,0,0,,,,0,,0,0,,,,0,,1,yolo_evidence,1,yolo_evidence,0,,0,,forward_motorcycle|forward_car
9,0.8,21,38,1,1,rider,0.9446238279342651,0.637089643988682,1,original,1,1,car,0.0015378908719867468,0.5847505115155514,1,original,0,0,,,,0,,0,0,,,,0,,1,yolo_evidence,1,yolo_evidence,0,,0,,forward_motorcycle|forward_car
10,0.9,24,47,1,1,rider,0.9255337119102478,0.6429448919259877,1,original,1,1,car,0.05157313495874405,0.6774885685852938,1,original,0,0,,,,0,,0,0,,,,0,,1,yolo_evidence,1,yolo_evidence,0,,0,,forward_motorcycle|forward_car
