video_frame,scene_state,traffic_light_state,displayed_targets,lead_car,pedestrian_1,pedestrian_2,lead_car_yolo_evidence,pedestrian_1_yolo_evidence,pedestrian_2_yolo_evidence
1,APPROACH_RED,Red,lead_car|pedestrian_1|pedestrian_2,1,1,1,1,0,0
2,APPROACH_RED,Red,lead_car|pedestrian_1|pedestrian_2,1,1,1,1,0,0
3,APPROACH_RED,Red,lead_car|pedestrian_1|pedestrian_2,1,1,1,1,0,0
4,APPROACH_RED,Red,lead_car|pedestrian_1|pedestrian_2,1,1,1,1,0,0
5,APPROACH_RED,Red,lead_car|pedestrian_1|pedestrian_2,1,1,1,1,0,0
6,APPROACH_RED,Red,lead_car|pedestrian_1|pedestrian_2,1,1,1,1,0,0
7,APPROACH_RED,Red,lead_car|pedestrian_1|pedestrian_2,1,1,1,1,0,0
8,APPROACH_RED,Red,lead_car|pedestrian_1|pedestrian_2,1,1,1,1,0,0
9,APPROACH_RED,Red,lead_car|pedestrian_1|pedestrian_2,1,1,1,1,0,0
10,APPROACH_RED,Red,lead_car|pedestrian_1|pedestrian_2,1,1,1,1,0,0
11,APPROACH_RED,Red,lead_car|pedestrian_1|pedestrian_2,1,1,1,1,0,0
12,APPROACH_RED,Red,lead_car|pedestrian_1|pedestrian_2,1,1,1,1,0,0
13,APPROACH_RED,Red,lead_car|pedestrian_1|pedestrian_2,1,1,1,0,0,0
14,APPROACH_RED,Red,lead_car|pedestrian_1|pedestrian_2,1,1,1,0,0,0
15,APPROACH_RED,Red,lead_car|pedestrian_1|pedestrian_2,1,1,1,1,0,0
16,APPROACH_RED,Red,lead_car|pedestrian_1|pedestrian_2,1,1,1,1,0,0
17,APPROACH_RED,Red,lead_car|pedestrian_1|pedestrian_2,1,1,1,0,0,0
18,APPROACH_RED,Red,lead_car|pedestrian_1|pedestrian_2,1,1,1,0,0,0
19,APPROACH_RED,Red,lead_car|pedestrian_1|pedestrian_2,1,1,1,0,0,0
20,APPROACH_RED,Red,lead_car|pedestrian_1|pedestrian_2,1,1,1,0,0,0
21,APPROACH_RED,Red,lead_car|pedestrian_1|pedestrian_2,1,1,1,0,0,0
22,APPROACH_RED,Red,lead_car|pedestrian_1|pedestrian_2,1,1,1,0,0,0
23,APPROACH_RED,Red,lead_car|pedestrian_1|pedestrian_2,1,1,1,0,0,0
24,APPROACH_RED,Red,lead_car|pedestrian_1|pedestrian_2,1,1,1,0,0,0
25,APPROACH_RED,Red,lead_car|pedestrian_1|pedestrian_2,1,1,1,1,1,1
26,APPROACH_RED,Red,lead_car|pedestrian_1|pedestrian_2,1,1,1,1,0,0
27,APPROACH_RED,Red,lead_car|pedestrian_1|pedestrian_2,1,1,1,1,1,1
28,APPROACH_RED,Red,lead_car|pedestrian_1,1,1,0,0,0,0
