epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,239.025,1.43836,1.57654,1.15871,0.16747,0.18371,0.12389,0.06337,1.47661,1.95361,1.19564,0.000277392,0.000277392,0.000277392
2,470.778,1.59801,1.60064,1.26966,0.30956,0.15951,0.0989,0.04792,1.61394,2.16987,1.25852,0.000549564,0.000549564,0.000549564
3,690.48,1.64188,1.59625,1.26548,0.31014,0.14828,0.11111,0.05848,1.55796,2.05662,1.23375,0.000816237,0.000816237,0.000816237
4,911.229,1.61549,1.51415,1.26833,0.38045,0.14601,0.11643,0.05752,1.54686,2.11107,1.23868,0.00080826,0.00080826,0.00080826
5,1144.1,1.58601,1.45914,1.24784,0.26803,0.21024,0.13458,0.06896,1.54697,2.0082,1.21937,0.000800013,0.000800013,0.000800013
6,1368.83,1.54973,1.42742,1.22874,0.25082,0.17358,0.1181,0.05873,1.52816,2.00088,1.22196,0.000791767,0.000791767,0.000791767
7,1588.84,1.50769,1.33664,1.21581,0.40202,0.21098,0.16918,0.08596,1.49628,1.86,1.19383,0.00078352,0.00078352,0.00078352
8,1814.24,1.47573,1.30377,1.2161,0.34613,0.20777,0.17926,0.08878,1.44465,1.99846,1.17685,0.000775273,0.000775273,0.000775273
9,2038.63,1.45037,1.24192,1.19074,0.29266,0.21429,0.15974,0.07556,1.45469,2.04782,1.17246,0.000767026,0.000767026,0.000767026
10,2263.71,1.44459,1.2178,1.17153,0.28602,0.22022,0.18062,0.09121,1.41538,1.8807,1.15446,0.00075878,0.00075878,0.00075878
11,2494.11,1.4206,1.16187,1.16901,0.2841,0.22265,0.18245,0.09164,1.4136,1.88152,1.1573,0.000750533,0.000750533,0.000750533
12,2722.81,1.40325,1.14669,1.16,0.28394,0.23086,0.16557,0.08387,1.37224,1.91357,1.1468,0.000742286,0.000742286,0.000742286
13,2959.04,1.38126,1.13549,1.15155,0.28567,0.22778,0.18295,0.09598,1.3609,1.98605,1.14771,0.00073404,0.00073404,0.00073404
14,3181.5,1.37824,1.10666,1.15324,0.39859,0.24624,0.19663,0.10146,1.36141,1.99096,1.14002,0.000725793,0.000725793,0.000725793
15,3403.06,1.32185,1.0661,1.12417,0.36451,0.24385,0.2045,0.10852,1.3307,1.88656,1.11997,0.000717546,0.000717546,0.000717546
16,3625.1,1.35004,1.09769,1.12381,0.36006,0.23848,0.19463,0.10041,1.34964,1.91406,1.13621,0.000709299,0.000709299,0.000709299
17,3847.12,1.31698,1.0443,1.11525,0.31055,0.24246,0.20266,0.10881,1.32919,2.01012,1.11856,0.000701053,0.000701053,0.000701053
18,4069.6,1.29735,0.99003,1.10471,0.35152,0.25831,0.22383,0.12255,1.31954,1.82228,1.11415,0.000692806,0.000692806,0.000692806
19,4289.29,1.30512,1.00132,1.10805,0.41269,0.23738,0.22214,0.11973,1.30821,1.8778,1.11115,0.000684559,0.000684559,0.000684559
20,4507.37,1.26572,0.97629,1.10813,0.35267,0.24801,0.2135,0.11519,1.33523,1.81012,1.12515,0.000676313,0.000676313,0.000676313
21,4728.43,1.28793,0.98843,1.10671,0.47566,0.24913,0.22399,0.11767,1.32353,1.77457,1.11459,0.000668066,0.000668066,0.000668066
22,4946.42,1.27198,0.97322,1.09631,0.3393,0.27526,0.21553,0.11759,1.30844,1.8722,1.11274,0.000659819,0.000659819,0.000659819
23,5163.64,1.25959,0.94176,1.0916,0.35542,0.28656,0.22966,0.11673,1.30586,1.81541,1.11039,0.000651573,0.000651573,0.000651573
24,5383.13,1.27411,0.96121,1.09879,0.37268,0.29543,0.24411,0.12984,1.28027,1.87832,1.11039,0.000643326,0.000643326,0.000643326
25,5601.27,1.23265,0.90842,1.0651,0.38335,0.25197,0.22502,0.12162,1.26572,1.9241,1.08649,0.000635079,0.000635079,0.000635079
26,5819.06,1.22943,0.91562,1.07338,0.38757,0.27339,0.24511,0.1339,1.28276,1.88399,1.10704,0.000626832,0.000626832,0.000626832
27,6038.44,1.23549,0.90521,1.07949,0.49537,0.26281,0.2393,0.12913,1.29418,2.01388,1.10488,0.000618586,0.000618586,0.000618586
28,6256.12,1.20638,0.87363,1.05533,0.47683,0.27833,0.25533,0.14009,1.25272,1.89987,1.08837,0.000610339,0.000610339,0.000610339
29,6475.02,1.21265,0.87145,1.06785,0.36733,0.29736,0.23258,0.13167,1.27838,1.95561,1.09533,0.000602092,0.000602092,0.000602092
30,6694.31,1.19681,0.85412,1.06279,0.4258,0.26831,0.24737,0.1342,1.27366,1.8248,1.09867,0.000593846,0.000593846,0.000593846
31,6912.18,1.20149,0.85571,1.05664,0.47047,0.26359,0.24706,0.13691,1.25316,1.91243,1.0875,0.000585599,0.000585599,0.000585599
32,7131.43,1.19729,0.85506,1.06297,0.37943,0.28845,0.25211,0.13664,1.24393,1.87213,1.08663,0.000577352,0.000577352,0.000577352
33,7348.71,1.16659,0.82821,1.0479,0.42225,0.26919,0.22573,0.12749,1.24863,1.99696,1.09755,0.000569106,0.000569106,0.000569106
34,7565.9,1.15975,0.83284,1.05454,0.40475,0.2909,0.25595,0.14437,1.25495,1.838,1.09291,0.000560859,0.000560859,0.000560859
35,7786.46,1.16762,0.83019,1.03917,0.3864,0.29456,0.2408,0.1336,1.24034,1.97523,1.08712,0.000552612,0.000552612,0.000552612
36,8004.06,1.12511,0.79037,1.03526,0.40734,0.29008,0.25575,0.14702,1.23155,1.91266,1.07896,0.000544365,0.000544365,0.000544365
37,8222.28,1.14373,0.79439,1.03778,0.38642,0.28633,0.25164,0.1405,1.23313,1.84111,1.07774,0.000536119,0.000536119,0.000536119
38,8440.67,1.13198,0.80322,1.03295,0.41391,0.28708,0.25002,0.14376,1.23021,1.92516,1.07788,0.000527872,0.000527872,0.000527872
39,8658.66,1.13105,0.77951,1.03332,0.4016,0.29497,0.26197,0.14945,1.22796,1.86352,1.0952,0.000519625,0.000519625,0.000519625
40,8879.04,1.11266,0.77857,1.03106,0.39401,0.28634,0.25012,0.13941,1.2294,1.96725,1.08933,0.000511379,0.000511379,0.000511379
41,9097.48,1.13049,0.77794,1.02582,0.49047,0.28776,0.26327,0.146,1.21177,1.78372,1.07715,0.000503132,0.000503132,0.000503132
42,9314.6,1.11649,0.75713,1.02298,0.37437,0.31027,0.25781,0.14347,1.21555,1.95698,1.0777,0.000494885,0.000494885,0.000494885
43,9533,1.11578,0.76627,1.02095,0.41222,0.2984,0.25764,0.14564,1.21768,1.93887,1.07974,0.000486639,0.000486639,0.000486639
44,9749.81,1.10791,0.75418,1.02127,0.49917,0.29617,0.26364,0.14164,1.21556,1.91819,1.07156,0.000478392,0.000478392,0.000478392
45,9966.9,1.09671,0.74639,1.01453,0.46177,0.29849,0.27472,0.1604,1.18773,1.99429,1.05579,0.000470145,0.000470145,0.000470145
46,10187.5,1.08452,0.73755,1.01334,0.49377,0.26923,0.2493,0.13484,1.21036,2.04674,1.06685,0.000461898,0.000461898,0.000461898
47,10423.9,1.09201,0.7426,1.00974,0.39295,0.31088,0.26516,0.15358,1.1957,1.94949,1.07092,0.000453652,0.000453652,0.000453652
48,10680.7,1.07991,0.71845,0.99611,0.51467,0.28453,0.2705,0.15417,1.20575,1.9168,1.07538,0.000445405,0.000445405,0.000445405
49,10938.7,1.07053,0.73433,1.01118,0.47819,0.28129,0.25972,0.15143,1.21153,2.02988,1.07549,0.000437158,0.000437158,0.000437158
50,11195.3,1.0788,0.71297,1.00258,0.49575,0.28896,0.26578,0.15495,1.19607,1.98409,1.06872,0.000428912,0.000428912,0.000428912
51,11454.6,1.0673,0.70304,0.99649,0.45017,0.2844,0.26016,0.15283,1.1891,1.96434,1.06458,0.000420665,0.000420665,0.000420665
52,11727.6,1.061,0.70827,0.99524,0.44701,0.30666,0.25934,0.14771,1.18115,2.03734,1.06655,0.000412418,0.000412418,0.000412418
53,11988.6,1.05307,0.69596,0.99427,0.43626,0.31452,0.25873,0.14599,1.17837,1.96832,1.0594,0.000404172,0.000404172,0.000404172
