epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.8625,1.2837,1.6881,1.24967,0.26502,0.09518,0.05321,0.02474,1.25167,4.66309,1.18688,0.000276351,0.000276351,0.000276351
2,110.786,1.35337,1.37221,1.33532,0.01743,0.14123,0.01084,0.00394,1.37908,5.9282,1.37137,0.000548533,0.000548533,0.000548533
3,162.382,1.36991,1.70058,1.3501,0.00657,0.01316,0.00191,0.00096,1.38312,4.57334,1.35202,0.000815217,0.000815217,0.000815217
4,215.821,1.40336,1.5609,1.38084,0.0204,0.32663,0.02189,0.01082,1.4611,5.81261,1.42309,0.00080826,0.00080826,0.00080826
5,267.837,1.35555,1.36392,1.34345,0.01383,0.22157,0.00736,0.00358,1.32456,4.65993,1.3151,0.000800013,0.000800013,0.000800013
6,319.822,1.37812,1.29799,1.38324,0.0184,0.3319,0.01329,0.00447,1.39447,4.7432,1.40387,0.000791767,0.000791767,0.000791767
7,373.077,1.34569,1.2064,1.32793,0.01723,0.35778,0.01392,0.0068,1.34235,4.34296,1.33572,0.00078352,0.00078352,0.00078352
8,424.295,1.36181,1.22058,1.33418,0.01723,0.31228,0.01328,0.00622,1.32643,4.51345,1.3214,0.000775273,0.000775273,0.000775273
9,478.85,1.33126,1.14998,1.30942,0.02979,0.22269,0.02264,0.01271,1.28992,4.28846,1.27965,0.000767026,0.000767026,0.000767026
10,530.431,1.27599,1.11487,1.29341,0.02196,0.2752,0.03092,0.01376,1.34949,4.0984,1.31238,0.00075878,0.00075878,0.00075878
11,583.713,1.27038,1.07944,1.29971,0.02718,0.2685,0.01371,0.00618,1.27983,5.02217,1.31034,0.000750533,0.000750533,0.000750533
12,635.07,1.27572,1.04865,1.30122,0.01809,0.27883,0.00624,0.00265,1.26323,5.0932,1.26391,0.000742286,0.000742286,0.000742286
13,687.606,1.28405,1.0351,1.29737,0.03311,0.31348,0.02923,0.01624,1.29273,4.40483,1.28646,0.00073404,0.00073404,0.00073404
14,740.423,1.24536,0.98211,1.26806,0.01853,0.125,0.00992,0.00502,1.29717,4.88533,1.29881,0.000725793,0.000725793,0.000725793
15,792.15,1.24126,1.01371,1.2949,0.03066,0.33158,0.02462,0.01171,1.2261,4.51036,1.2589,0.000717546,0.000717546,0.000717546
