epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.9343,1.32063,2.20552,1.21686,0.08137,0.15605,0.04101,0.02424,1.38112,9.20432,1.20433,0.000272708,0.000272708,0.000272708
2,51.7774,1.29976,1.40603,1.22815,0.02693,0.49836,0.09591,0.0562,1.33953,5.28777,1.22664,0.000544926,0.000544926,0.000544926
3,75.9564,1.32052,1.53051,1.26924,0.00651,0.26949,0.00454,0.0015,1.4417,7.62001,1.33747,0.000811646,0.000811646,0.000811646
4,99.9762,1.36389,1.56077,1.26347,0.0126,0.03051,0.00544,0.00242,1.54854,5.34172,1.3924,0.00080826,0.00080826,0.00080826
5,123.85,1.30129,1.47362,1.27914,0.00968,0.14266,0.00131,0.00053,1.53639,5.63124,1.36081,0.000800013,0.000800013,0.000800013
6,147.458,1.24065,1.22074,1.20661,0.01983,0.31546,0.01712,0.00781,1.48149,4.50089,1.36152,0.000791767,0.000791767,0.000791767
7,169.847,1.30929,1.14731,1.27953,0.02192,0.18329,0.018,0.00732,1.44442,5.01387,1.3928,0.00078352,0.00078352,0.00078352
8,192.361,1.25503,1.14062,1.24708,0.02164,0.19798,0.0206,0.00893,1.35969,4.31849,1.27791,0.000775273,0.000775273,0.000775273
9,214.893,1.26007,1.14041,1.272,0.01905,0.28091,0.02414,0.01118,1.37522,4.14971,1.30671,0.000767026,0.000767026,0.000767026
10,237.926,1.25622,1.06921,1.23122,0.01863,0.23479,0.00788,0.00377,1.38656,4.81194,1.3049,0.00075878,0.00075878,0.00075878
11,260.548,1.1605,0.96339,1.17372,0.03126,0.40287,0.02679,0.01148,1.37369,4.57653,1.31888,0.000750533,0.000750533,0.000750533
12,283.677,1.19778,1.01638,1.22824,0.01848,0.23818,0.01005,0.00434,1.42692,4.70861,1.30222,0.000742286,0.000742286,0.000742286
13,306.292,1.17091,0.98327,1.19723,0.01665,0.27345,0.01254,0.00543,1.38406,4.61206,1.28446,0.00073404,0.00073404,0.00073404
14,329.368,1.17983,0.97785,1.24054,0.02305,0.45823,0.00893,0.00377,1.36598,5.0456,1.29346,0.000725793,0.000725793,0.000725793
15,354.423,1.15374,0.94457,1.17907,0.02757,0.3364,0.02688,0.01257,1.38051,4.32609,1.28452,0.000717546,0.000717546,0.000717546
