epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.7514,1.28307,1.87305,1.18579,0.38564,0.05229,0.03931,0.02134,1.19674,5.92671,1.18606,0.000272113,0.000272113,0.000272113
2,43.4597,1.27209,1.2261,1.20665,0.67903,0.01961,0.00381,0.00152,1.25877,5.36252,1.3102,0.000544337,0.000544337,0.000544337
3,63.8268,1.37725,1.41838,1.26661,0.37668,0.05472,0.02225,0.01249,1.36551,9.82808,1.49154,0.000811063,0.000811063,0.000811063
4,84.3727,1.34489,1.33858,1.22249,0.39762,0.12181,0.05806,0.03182,1.40095,12.1777,1.47101,0.00080826,0.00080826,0.00080826
5,104.841,1.30272,1.27982,1.27629,0.40639,0.09804,0.05304,0.0295,1.22875,6.19449,1.33452,0.000800013,0.000800013,0.000800013
6,125.793,1.26255,1.09436,1.26542,0.01066,0.23203,0.01212,0.00651,1.23505,5.08589,1.38207,0.000791767,0.000791767,0.000791767
7,146.865,1.30023,1.10616,1.26588,0.02174,0.19608,0.01694,0.00915,1.35456,4.96905,1.49651,0.00078352,0.00078352,0.00078352
8,167.274,1.25434,1.04332,1.21815,0.02198,0.27451,0.03707,0.0195,1.28733,4.27839,1.36676,0.000775273,0.000775273,0.000775273
9,187.429,1.2408,1.00849,1.21197,0.399,0.03268,0.02797,0.01258,1.20437,4.36487,1.31182,0.000767026,0.000767026,0.000767026
10,207.413,1.23604,1.06028,1.24881,0.026,0.2549,0.03272,0.01767,1.17458,4.65211,1.28889,0.00075878,0.00075878,0.00075878
11,228.643,1.18036,0.89633,1.19934,0.3801,0.05882,0.03557,0.02033,1.13938,4.45518,1.27921,0.000750533,0.000750533,0.000750533
12,249.162,1.19737,0.87302,1.18886,0.05037,0.5719,0.04698,0.0304,1.0791,4.72559,1.21418,0.000742286,0.000742286,0.000742286
13,269.49,1.20947,0.86795,1.18185,0.04792,0.29412,0.05574,0.031,1.07168,4.3577,1.20107,0.00073404,0.00073404,0.00073404
14,289.299,1.18257,0.89481,1.20598,0.03271,0.23856,0.0291,0.01587,1.14578,4.62735,1.2526,0.000725793,0.000725793,0.000725793
15,308.464,1.16486,0.82548,1.17007,0.03899,0.62745,0.0503,0.02856,1.16601,4.56127,1.23046,0.000717546,0.000717546,0.000717546
16,327.578,1.14673,0.82287,1.17725,0.04459,0.53595,0.03116,0.01894,1.01068,4.75148,1.14426,0.000709299,0.000709299,0.000709299
17,347.111,1.14042,0.78302,1.14081,0.04842,0.56209,0.04865,0.02782,1.01818,4.92599,1.15441,0.000701053,0.000701053,0.000701053
18,366.996,1.10844,0.76448,1.12263,0.03137,0.20915,0.02319,0.01389,0.93857,4.82265,1.12878,0.000692806,0.000692806,0.000692806
19,387.572,1.10001,0.74704,1.13543,0.04545,0.21569,0.03104,0.01992,0.94665,4.77593,1.11554,0.000684559,0.000684559,0.000684559
20,408.118,1.08121,0.70437,1.1147,0.04671,0.21569,0.03044,0.01877,0.95301,4.83363,1.12095,0.000676313,0.000676313,0.000676313
21,428.381,1.09933,0.71871,1.13715,0.05043,0.20915,0.03724,0.02411,0.95569,4.72252,1.11406,0.000668066,0.000668066,0.000668066
22,448.5,1.11939,0.74269,1.16623,0.06265,0.1732,0.03515,0.02216,0.99843,4.66462,1.14906,0.000659819,0.000659819,0.000659819
23,468.71,1.04572,0.70513,1.12987,0.05083,0.14052,0.02287,0.01637,0.93799,5.03184,1.12461,0.000651573,0.000651573,0.000651573
24,490.265,1.06673,0.72619,1.12586,0.0733,0.5,0.04744,0.03575,0.90416,5.0819,1.1131,0.000643326,0.000643326,0.000643326
25,510.964,1.06261,0.7071,1.14305,0.10614,0.46405,0.05283,0.03485,0.94729,5.06344,1.12365,0.000635079,0.000635079,0.000635079
26,531.337,1.06711,0.71042,1.1319,0.08874,0.47386,0.05748,0.03763,0.8981,5.15679,1.09194,0.000626832,0.000626832,0.000626832
27,552.484,1.03373,0.66133,1.1142,0.03922,0.11765,0.01649,0.00877,0.92217,5.53556,1.0957,0.000618586,0.000618586,0.000618586
28,573.008,1.04531,0.68028,1.1029,0.06313,0.5098,0.04283,0.0299,0.88034,5.11946,1.0994,0.000610339,0.000610339,0.000610339
29,593.53,1.0125,0.65129,1.1005,0.0549,0.53595,0.04828,0.03303,0.87231,5.18522,1.07936,0.000602092,0.000602092,0.000602092
30,614.106,0.97707,0.62128,1.06278,0.06863,0.48039,0.03933,0.02366,0.82993,5.29663,1.05687,0.000593846,0.000593846,0.000593846
31,634.364,0.97406,0.62794,1.07698,0.09417,0.5,0.05698,0.04015,0.85072,5.19957,1.04628,0.000585599,0.000585599,0.000585599
32,655.147,1.01054,0.64207,1.08626,0.05776,0.11438,0.02015,0.01156,0.8289,5.39744,1.01429,0.000577352,0.000577352,0.000577352
33,675.335,1.0079,0.62712,1.06649,0.02238,0.0915,0.0065,0.00357,0.87682,6.08923,1.05605,0.000569106,0.000569106,0.000569106
34,695.415,0.99818,0.6258,1.07249,0.03414,0.11111,0.0122,0.00691,0.90958,5.54413,1.0835,0.000560859,0.000560859,0.000560859
35,716.314,0.96428,0.59917,1.05234,0.08943,0.17974,0.05515,0.0418,0.82817,5.10031,1.03629,0.000552612,0.000552612,0.000552612
36,737.204,0.95664,0.60231,1.0508,0.04109,0.4281,0.02777,0.02021,0.83783,5.85488,1.04551,0.000544365,0.000544365,0.000544365
37,757.853,0.94983,0.59517,1.06172,0.04881,0.40523,0.02915,0.02326,0.83446,5.93683,1.03948,0.000536119,0.000536119,0.000536119
38,778.016,0.92502,0.57934,1.02473,0.05864,0.39869,0.0226,0.0161,0.82525,5.73475,1.02572,0.000527872,0.000527872,0.000527872
39,798.371,0.94261,0.62591,1.06382,0.04957,0.09477,0.01427,0.00924,0.81275,5.81941,1.01091,0.000519625,0.000519625,0.000519625
40,818.412,0.93315,0.59366,1.04324,0.03397,0.10458,0.01073,0.00708,0.82313,5.59924,1.01505,0.000511379,0.000511379,0.000511379
41,838.427,0.92465,0.56874,1.03478,0.06309,0.45098,0.04089,0.03263,0.80257,5.9602,1.00819,0.000503132,0.000503132,0.000503132
42,859.151,0.92837,0.55399,1.02353,0.06835,0.21242,0.04677,0.03397,0.74469,5.0556,0.9824,0.000494885,0.000494885,0.000494885
43,879.623,0.90513,0.55469,1.03884,0.06944,0.09804,0.02112,0.01461,0.74551,5.61352,0.96592,0.000486639,0.000486639,0.000486639
44,899.936,0.90133,0.53201,1.03495,0.07879,0.12745,0.03126,0.02193,0.78899,5.61667,0.99014,0.000478392,0.000478392,0.000478392
45,920.136,0.89967,0.53736,1.03129,0.07018,0.14379,0.03067,0.02088,0.74504,5.5737,0.99754,0.000470145,0.000470145,0.000470145
46,940.281,0.91427,0.53731,1.00229,0.09206,0.4281,0.05079,0.03984,0.73344,5.76669,0.99198,0.000461898,0.000461898,0.000461898
47,960.876,0.92413,0.57646,1.04539,0.09047,0.4281,0.04323,0.03265,0.76833,5.90702,0.99232,0.000453652,0.000453652,0.000453652
48,981.627,0.87952,0.5263,1.0066,0.05669,0.38562,0.02083,0.01856,0.72674,6.14311,0.98074,0.000445405,0.000445405,0.000445405
49,1001.99,0.85974,0.50813,0.99387,0.10303,0.11111,0.03643,0.02363,0.68686,5.64634,0.95155,0.000437158,0.000437158,0.000437158
50,1022.15,0.83011,0.51124,0.99172,0.08269,0.10458,0.02605,0.01795,0.67363,5.85177,0.94395,0.000428912,0.000428912,0.000428912
51,1042.44,0.83874,0.5077,1.0135,0.08333,0.14379,0.03625,0.02463,0.64895,5.62054,0.92541,0.000420665,0.000420665,0.000420665
52,1062.58,0.85918,0.49845,0.99241,0.075,0.14706,0.03641,0.02759,0.60589,5.65603,0.91786,0.000412418,0.000412418,0.000412418
53,1083.37,0.83327,0.48897,1.01807,0.14141,0.13725,0.0599,0.04808,0.62243,5.46979,0.91883,0.000404172,0.000404172,0.000404172
54,1104.49,0.84993,0.50681,1.01074,0.15556,0.11438,0.05444,0.03919,0.60619,5.84291,0.91595,0.000395925,0.000395925,0.000395925
55,1124.68,0.84873,0.48678,1.00949,0.15094,0.07843,0.0381,0.0263,0.63336,6.01192,0.92718,0.000387678,0.000387678,0.000387678
56,1145.08,0.80448,0.46373,0.97256,0.10549,0.0817,0.02686,0.0197,0.63225,6.41694,0.93464,0.000379431,0.000379431,0.000379431
57,1164.95,0.78695,0.46895,0.99337,0.07602,0.04248,0.01056,0.00717,0.63105,6.49892,0.93363,0.000371185,0.000371185,0.000371185
58,1185.4,0.79597,0.44968,0.97928,0.05556,0.03595,0.00663,0.00473,0.61327,6.52623,0.92938,0.000362938,0.000362938,0.000362938
59,1206.07,0.80558,0.45488,0.98858,0.07658,0.05556,0.01299,0.00918,0.60648,6.55227,0.92039,0.000354691,0.000354691,0.000354691
60,1225.97,0.80493,0.45549,1.00285,0.03756,0.02614,0.00323,0.00233,0.57457,6.71712,0.91168,0.000346445,0.000346445,0.000346445
61,1246.06,0.78028,0.43822,0.96597,0.03488,0.02941,0.00319,0.00248,0.57513,6.88897,0.90401,0.000338198,0.000338198,0.000338198
62,1266.33,0.77796,0.45273,0.96574,0.04762,0.02941,0.00506,0.00397,0.57025,6.90631,0.89681,0.000329951,0.000329951,0.000329951
63,1286.6,0.76833,0.45579,0.96192,0.03756,0.02614,0.00519,0.00439,0.57506,6.73856,0.89384,0.000321705,0.000321705,0.000321705
64,1307.33,0.78296,0.47647,0.9879,0.04365,0.03595,0.00494,0.00408,0.5626,6.68032,0.88986,0.000313458,0.000313458,0.000313458
65,1327.76,0.77648,0.45131,0.96237,0.04444,0.02614,0.00445,0.00372,0.5898,7.04064,0.89957,0.000305211,0.000305211,0.000305211
66,1348.16,0.75934,0.43694,0.98388,0.04918,0.02941,0.00433,0.0034,0.56034,6.74779,0.89385,0.000296964,0.000296964,0.000296964
67,1368.47,0.7551,0.43465,0.95904,0.06468,0.04248,0.00833,0.00575,0.54321,6.58163,0.89049,0.000288718,0.000288718,0.000288718
68,1388.56,0.70931,0.40261,0.94997,0.06481,0.02288,0.00468,0.00351,0.53314,6.70857,0.8844,0.000280471,0.000280471,0.000280471
69,1408.82,0.76121,0.42186,0.95209,0.09402,0.03595,0.00996,0.00743,0.52688,6.61862,0.87753,0.000272224,0.000272224,0.000272224
70,1429.68,0.73671,0.41524,0.94474,0.07971,0.03595,0.00917,0.00687,0.52844,6.75854,0.8744,0.000263978,0.000263978,0.000263978
71,1449.56,0.74194,0.42048,0.95027,0.05333,0.02614,0.00482,0.00374,0.50957,7.08046,0.86667,0.000255731,0.000255731,0.000255731
72,1469.97,0.71981,0.41552,0.951,0.04444,0.01307,0.00338,0.00254,0.51589,6.86564,0.86624,0.000247484,0.000247484,0.000247484
73,1489.89,0.72492,0.40545,0.92855,0.07576,0.01634,0.0045,0.00378,0.52799,6.79255,0.87206,0.000239238,0.000239238,0.000239238
74,1510.25,0.70547,0.39651,0.93888,0.07576,0.01634,0.00378,0.00326,0.54293,6.919,0.87086,0.000230991,0.000230991,0.000230991
75,1530.94,0.73431,0.39983,0.9377,0.04505,0.01634,0.0028,0.00235,0.49755,6.79796,0.8591,0.000222744,0.000222744,0.000222744
76,1551.61,0.69541,0.38172,0.91746,0.06202,0.02614,0.00465,0.00369,0.48652,6.81677,0.85972,0.000214497,0.000214497,0.000214497
77,1572.16,0.6845,0.39053,0.93929,0.08081,0.02614,0.00645,0.00497,0.48961,6.93277,0.85593,0.000206251,0.000206251,0.000206251
78,1592.76,0.68368,0.40417,0.93937,0.08889,0.02614,0.00667,0.00535,0.47526,7.04283,0.85501,0.000198004,0.000198004,0.000198004
79,1612.99,0.68099,0.3857,0.92976,0.07576,0.01634,0.00359,0.00294,0.47896,7.05366,0.85302,0.000189757,0.000189757,0.000189757
80,1633.28,0.67041,0.3856,0.92731,0.09804,0.01634,0.00469,0.00392,0.46387,7.02302,0.84797,0.000181511,0.000181511,0.000181511
81,1653.35,0.66488,0.37954,0.92332,0.0641,0.01634,0.00288,0.0024,0.48115,7.00918,0.85404,0.000173264,0.000173264,0.000173264
82,1674.78,0.68701,0.38017,0.92607,0.04902,0.01634,0.00221,0.00191,0.47016,6.99056,0.84962,0.000165017,0.000165017,0.000165017
83,1694.96,0.65996,0.37323,0.92498,0.03509,0.01307,0.00128,0.00101,0.46381,7.05971,0.85605,0.000156771,0.000156771,0.000156771
84,1715.51,0.64729,0.36074,0.91276,0.02381,0.0098,0.00078,0.00066,0.45409,7.12458,0.85616,0.000148524,0.000148524,0.000148524
85,1735.69,0.66725,0.36129,0.92333,0.02632,0.0098,0.00069,0.00054,0.44537,7.07005,0.85664,0.000140277,0.000140277,0.000140277
86,1756.03,0.65496,0.36961,0.90827,0.04167,0.0098,0.00109,0.00092,0.43802,7.15621,0.85071,0.000132031,0.000132031,0.000132031
87,1776.38,0.64933,0.36971,0.92377,0.05952,0.01634,0.00272,0.00223,0.43643,7.20502,0.85054,0.000123784,0.000123784,0.000123784
88,1796.97,0.62493,0.34114,0.90957,0.0625,0.01961,0.00344,0.00299,0.41903,7.19108,0.84188,0.000115537,0.000115537,0.000115537
89,1817.77,0.62565,0.35163,0.90824,0.0303,0.0098,0.00111,0.00095,0.42487,7.12884,0.8399,0.00010729,0.00010729,0.00010729
90,1838.05,0.63617,0.35222,0.91422,0.03704,0.0098,0.00096,0.00087,0.41859,7.14717,0.84231,9.90437e-05,9.90437e-05,9.90437e-05
91,1866.8,0.60629,0.31789,0.91916,0.02899,0.01307,0.0012,0.00093,0.43651,7.154,0.84527,9.0797e-05,9.0797e-05,9.0797e-05
92,1886.32,0.61352,0.3284,0.90124,0.02469,0.01307,0.00104,0.00078,0.43793,7.01365,0.84201,8.25503e-05,8.25503e-05,8.25503e-05
93,1906.63,0.60942,0.32207,0.89007,0.03704,0.01307,0.00194,0.00156,0.41555,6.88094,0.83504,7.43036e-05,7.43036e-05,7.43036e-05
94,1927.25,0.57281,0.30719,0.8999,0.05952,0.01634,0.00323,0.00267,0.40606,6.94605,0.83257,6.60569e-05,6.60569e-05,6.60569e-05
95,1947.62,0.58871,0.30817,0.87713,0.04444,0.01307,0.00259,0.00213,0.41112,7.08936,0.83447,5.78102e-05,5.78102e-05,5.78102e-05
96,1968.16,0.56953,0.30321,0.88476,0.04762,0.01634,0.00344,0.00274,0.4085,7.10484,0.83359,4.95635e-05,4.95635e-05,4.95635e-05
97,1988.87,0.58214,0.30022,0.88283,0.0641,0.01634,0.00398,0.00329,0.39928,7.11998,0.83361,4.13168e-05,4.13168e-05,4.13168e-05
98,2009.24,0.56449,0.29798,0.88357,0.08772,0.01634,0.00417,0.00347,0.38776,7.08919,0.83177,3.30701e-05,3.30701e-05,3.30701e-05
